OTU ID	Domain	Phylum	Class	Order	Family	Genus
OTU8202	Bacteria	Actinomycetota	MB-A2-108	norank_c__MB-A2-108	norank_c__MB-A2-108	norank_c__MB-A2-108
OTU8203	Bacteria	Cyanobacteriota	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	Fr127
OTU8204	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	norank_f__Roseiflexaceae
OTU8205	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
OTU8206	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	norank_f__Caldilineaceae
OTU8207	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella
OTU8208	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU8209	Bacteria	Dependentiae	Babeliae	Babeliales	unclassified_o__Babeliales	unclassified_o__Babeliales
OTU8210	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylovulum
OTU8211	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
